1496307942.594	AAEC
1496307804.155	ABFS
1496307926.349	ABHB
1496306790.012	ABZG
1496312976.915	ACHX
1496308287.923	ACKW
1496307857.362	AEZX
1496306820.112	AFPL
1496306941.407	AFQX
1496308481.346	AGAP
1496308469.517	AGES
1496307099.181	AHXM
1496308265.336	AKLB
1496307491.597	ALDO
1496307204.926	ALML
1496308158.16	AMMT
1496308428.322	AMWT
1496307713.708	ANAD
1496307090.821	ANAF
1496308043.803	ANDP
1496312983.877	ANZO
1496308364.803	AOZW
1496308227.262	APMO
1496307188.388	AQPB
1496306904.429	AQQD
1496308010.458	ASHQ
1496308149.815	AWDH
1496306781.618	AWEM
1496306917.647	AXAM
1496306899.335	AZCO
1496308074.78	BADB
1496307720.072	BAFH
1496308329.836	BAWM
1496306880.788	BAZA
1496306843.61	BBDE
1496307323.451	BBGB
1496306902.708	BBGE
1496307237.017	BBMW
1496308459.37	BBRE
1496307477.987	BBTW
1496307288.479	BCCR
1496308102.161	BCDB
1496307849.551	BCDO
1496307759.776	BCEP
1496307581.737	BDBG
1496307585.213	BDBP
1496307393.798	BDEF
1496308108.124	BDFG
1496307079.03	BDGO
1496308027.135	BDHO
1496307993.791	BDMW
1496307025.046	BDNL
1496306873.884	BDOP
1496307300.223	BDPB
1496307273.325	BDPG
1496307385.26	BDPG
1496306724.53	BDSO
1496308111.696	BDXD
1496307129.463	BDZW
1496308000.934	BEBF
1496306741.318	BEBR
1496307954.406	BEEB
1496308526.165	BEED
1496307231.907	BEEO
1496307444.884	BEGA
1496308254.645	BEGD
1496307348.293	BEPD
1496308486.454	BERD
1496307391.979	BERE
1496308286.744	BERP
1496306907.816	BFBR
1496306810.035	BFEO
1496308283.18	BFRD
1496307936.629	BGEF
1496307558.842	BGZP
1496306710.899	BKDO
1496306736.374	BLHN
1496307644.917	BLTH
1496308294.996	BMAD
1496307410.655	BOBD
1496306996.231	BOEE
1496308467.831	BOGO
1496307788.889	BOPD
1496308054.52	BPBG
1496308192.772	BPCB
1496308273.668	BPDC
1496308039.033	BPDE
1496307723.433	BPEF
1496308304.837	BPFP
1496307782.114	BPRB
1496307173.381	BPZP
1496307308.472	BQLP
1496307102.48	BQMQ
1496307996.172	BQSG
1496308406.719	BQWO
1496307311.742	BRBD
1496308168.929	BRCE
1496312987.45	BRDC
1496307973.645	BRFC
1496307383.55	BRFG
1496307023.418	BRKA
1496308524.466	BRNH
1496307226.889	BROF
1496307331.699	BROR
1496312988.642	BWMH
1496306914.196	BWNR
1496308178.486	BZHL
1496307611.062	CBCB
1496307889.999	CBDF
1496306774.902	CBDN
1496308291.5	CBED
1496308352.988	CBFC
1496307573.931	CBFP
1496307191.608	CBGE
1496306758.139	CBOR
1496307313.521	CBRD
1496308220.118	CDFR
1496307259.951	CDMS
1496308123.641	CEDC
1496308341.352	CEDD
1496307502.977	CEDG
1496306974.582	CEEE
1496306751.368	CEFC
1496308258.217	CELH
1496308062.856	CFBD
1496307905.473	CFBE
1496307031.681	CFGB
1496308301.595	CFPG
1496308403.272	CFRF
1496308234.413	CFSN
1496307808.298	CGDC
1496306856.92	CGEO
1496307617.716	CGFE
1496308056.901	CGFH
1496308359.761	CHDG
1496306800.11	CHQX
1496308064.042	CLMN
1496307881.465	CMLN
1496307395.531	CMNA
1496307509.316	CMNT
1496306858.554	CNDQ
1496307233.638	CNXQ
1496306951.447	COCB
1496308121.267	COCF
1496308420.112	COMP
1496307931.532	COPD
1496308022.357	CORD
1496306716.078	CPBB
1496307193.263	CQDG
1496306801.745	CREG
1496307999.747	CRHS
1496307984.924	CRPD
1496306805.043	CRPG
1496307933.234	CTBT
1496307074.073	CTKN
1496307220.052	CTQA
1496312986.26	CTSQ
1496307693.607	CXQP
1496307053.191	CZML
1496313001.731	DADR
1496307534.743	DAHP
1496308279.6	DBCF
1496306882.491	DBDR
1496307958.274	DBEG
1496308356.406	DBFC
1496308363.129	DBGB
1496306791.695	DBGD
1496308214.181	DBMH
1496312996.973	DBPB
1496306926.163	DBPD
1496307567.99	DBRF
1496306694.323	DCDC
1496308334.732	DCDO
1496307934.904	DCEO
1496306697.603	DCQF
1496307388.653	DCRB
1496308071.192	DDDF
1496308189.186	DDGC
1496308139.117	DDGR
1496307460.265	DDPO
1496306833.414	DDRD
1496306701.019	DDRE
1496306986.601	DEBR
1496307380.218	DEBR
1496307345.067	DECF
1496308333.053	DEEG
1496307305.209	DEEO
1496306778.224	DEEP
1496307097.578	DEHH
1496308061.66	DEPG
1496308072.377	DEQO
1496307814.721	DFBE
1496307028.382	DFEG
1496307467.765	DFEO
1496307646.678	DFOE
1496307908.727	DGBE
1496308337.999	DGBE
1496308255.831	DGDB
1496308488.13	DGHA
1496307286.766	DGTM
1496307185.101	DHAC
1496307681.46	DHFZ
1496307281.767	DKAH
1496308084.29	DLTG
1496306841.881	DMLB
1496308446.242	DMXK
1496308496.444	DNBA
1496306868.823	DOCB
1496308399.82	DOGB
1496308002.126	DOGM
1496307998.554	DOPD
1496308146.24	DOPE
1496307819.894	DOZM
1496308050.95	DPDP
1496307343.422	DPGD
1496308379.661	DPLA
1496307959.977	DPOE
1496308019.967	DRDE
1496307698.885	DREG
1496306967.899	DRWP
1496313000.553	DSQH
1496308090.245	DTBE
1496308011.649	DTHQ
1496307991.597	DTOZ
1496307718.437	DWAM
1496307676.101	DWFG
1496308529.468	DWMB
